# first row has to be the base model
# ss : sample size
# a : alpha for dirichilet distribution of cell type proportions
# vc : variance proportion explained by the five components in the order of cell type main effect, shared genetic effect, shared_noise, CT specific genetic effect, CT specific noise, and cell-specific noise
# beta : ratio of betas, i.e. cell type main effect
# V_diag : ratio of diagnal elements in the matrix of V
# V_tril : correltion between each pair of diagnol elements in V, i.e. the covariance in V equal to correlation * sqrt(v_1 * v_2)
# std_nu_scale : nu_i follows gamma distribution of (mean = last component of vs, var = (std_nu_scale * mean)**2)
model	ss	a	vc	beta	V_diag	V_tril	W_diag	W_tril	std_nu_scale
hom	1000	2_2_2_2	0.13_0.13_0.11_0_0.08_0.55	8_4_2_1	0	0	1_1_1_1	0	0.4
hom	500	2_2_2_2	0.13_0.13_0.11_0_0.08_0.55	8_4_2_1	0	0	1_1_1_1	0	0.4
hom	1500	2_2_2_2	0.13_0.13_0.11_0_0.08_0.55	8_4_2_1	0	0	1_1_1_1	0	0.4
hom	2000	2_2_2_2	0.13_0.13_0.11_0_0.08_0.55	8_4_2_1	0	0	1_1_1_1	0	0.4
hom	1000	8_2_2_2	0.13_0.13_0.11_0_0.08_0.55	8_4_2_1	0	0	1_1_1_1	0	0.4
hom	1000	4_2_2_2	0.13_0.13_0.11_0_0.08_0.55	8_4_2_1	0	0	1_1_1_1	0	0.4
hom	1000	1_2_2_2	0.13_0.13_0.11_0_0.08_0.55	8_4_2_1	0	0	1_1_1_1	0	0.4
hom21	1000	2_2	0.13_0.13_0.11_0_0.08_0.55	2_1	0	0	1_1	0	0.4
hom22	1000	2_2_2_2_2_2_2_2	0.13_0.13_0.11_0_0.08_0.55	8_8_4_4_2_2_1_1	0	0	1_1_1_1_1_1_1_1	0	0.4
hom3	1000	2_2_2_2	0.13_0.13_0.11_0_0.08_0.55	8_4_2_1	0	0	1_1_1_1	0	0.4
hom3	1000	2_2_2_2	0.084_0.084_0.071_0_0.052_0.709	8_4_2_1	0	0	1_1_1_1	0	0.4
hom3	1000	2_2_2_2	0.179_0.179_0.152_0_0.11_0.38	8_4_2_1	0	0	1_1_1_1	0	0.4
hom3	1000	2_2_2_2	0.221_0.221_0.187_0_0.136_0.235	8_4_2_1	0	0	1_1_1_1	0	0.4
hom3	1000	2_2_2_2	0.289_0.289_0.244_0_0.178_0	8_4_2_1	0	0	1_1_1_1	0	0.4
free	1000	2_2_2_2	0.13_0.13_0.11_0.04_0.08_0.51	8_4_2_1	1_1_1_1	0	1_1_1_1	0	0.4
free	500	2_2_2_2	0.13_0.13_0.11_0.04_0.08_0.51	8_4_2_1	1_1_1_1	0	1_1_1_1	0	0.4
free	1500	2_2_2_2	0.13_0.13_0.11_0.04_0.08_0.51	8_4_2_1	1_1_1_1	0	1_1_1_1	0	0.4
free	2000	2_2_2_2	0.13_0.13_0.11_0.04_0.08_0.51	8_4_2_1	1_1_1_1	0	1_1_1_1	0	0.4
free	1000	2_2_2_2	0.13_0.13_0.11_0.04_0.08_0.51	8_4_2_1	10_1_1_1	0	1_1_1_1	0	0.4
free	1000	2_2_2_2	0.13_0.13_0.11_0.04_0.08_0.51	8_4_2_1	5_1_1_1	0	1_1_1_1	0	0.4
free	1000	2_2_2_2	0.13_0.13_0.11_0.04_0.08_0.51	8_4_2_1	0.1_1_1_1	0	1_1_1_1	0	0.4
free	1000	2_2_2_2	0.13_0.13_0.11_0.06_0.08_0.49	8_4_2_1	1_1_1_1	0	1_1_1_1	0	0.4
free	1000	2_2_2_2	0.13_0.13_0.11_0.02_0.08_0.53	8_4_2_1	1_1_1_1	0	1_1_1_1	0	0.4
free	1000	8_2_2_2	0.13_0.13_0.11_0.04_0.08_0.51	8_4_2_1	1_1_1_1	0	1_1_1_1	0	0.4
free	1000	4_2_2_2	0.13_0.13_0.11_0.04_0.08_0.51	8_4_2_1	1_1_1_1	0	1_1_1_1	0	0.4
free	1000	1_2_2_2	0.13_0.13_0.11_0.04_0.08_0.51	8_4_2_1	1_1_1_1	0	1_1_1_1	0	0.4
free21	1000	2_2	0.13_0.13_0.11_0.04_0.08_0.51	2_1	1_1	0	1_1	0	0.4
free22	1000	2_2_2_2_2_2_2_2	0.13_0.13_0.11_0.04_0.08_0.51	8_8_4_4_2_2_1_1	1_1_1_1_1_1_1_1	0	1_1_1_1_1_1_1_1	0	0.4
free3	1000	2_2_2_2	0.13_0.13_0.11_0.04_0.08_0.51	8_4_2_1	1_1_1_1	0	1_1_1_1	0	0.4
free3	1000	2_2_2_2	0.086_0.086_0.073_0.026_0.053_0.676	8_4_2_1	1_1_1_1	0	1_1_1_1	0	0.4
free3	1000	2_2_2_2	0.174_0.174_0.148_0.054_0.107_0.343	8_4_2_1	1_1_1_1	0	1_1_1_1	0	0.4
free3	1000	2_2_2_2	0.211_0.211_0.178_0.065_0.13_0.205	8_4_2_1	1_1_1_1	0	1_1_1_1	0	0.4
free3	1000	2_2_2_2	0.266_0.265_0.224_0.082_0.163_0	8_4_2_1	1_1_1_1	0	1_1_1_1	0	0.4
free4	1000	2_2_2_2	0_0_0_0.007_0.121_0.872	8_4_2_1	10_1_1_1	0	1_1_1_1	0	0.4
free4	1000	2_2_2_2	0_0_0_0.032_0.562_0.406	8_4_2_1	10_1_1_1	0	1_1_1_1	0	0.4
free4	1000	2_2_2_2	0_0_0_0.04_0.705_0.255	8_4_2_1	10_1_1_1	0	1_1_1_1	0	0.4
free4	1000	2_2_2_2	0_0_0_0.048_0.832_0.12	8_4_2_1	10_1_1_1	0	1_1_1_1	0	0.4
free4	1000	2_2_2_2	0_0_0_0.051_0.885_0.064	8_4_2_1	10_1_1_1	0	1_1_1_1	0	0.4
